spssId,spssName,gaiaID,RA,Dec,Bmag,Vmag,spType,inV1,inV2,flag,Notes
300,WD2117+539,2176116580055936512,319.733782294552,54.2123152866867,12.428,12.354,DA3,no,yes,0,-
305,WD2309+105,2810585920868186240,348.090695718523,10.7844294599945,12.796,13.121,DA1,yes,yes,1,Warning minor spectral defects (<3%)
307,WD0859-039,5762406957886626816,135.57206088916,-4.11538359594736,13.036,13.175,DA2,yes,yes,2,Warning spectral defects (>3%)
308,WD1034+001,3806885288337214848,159.26544728896,-0.138517547591573,12.882,13.244,DOZ1,yes,yes,2,Warning spectral defects (>3%)
309,2MASSJ17571324+6703409,1633585107317144960,269.305143753686,67.0612637971276,12.075,11.823,A3,yes,yes,0,-
311,BD+661071,2161721571962091136,270.54552344984,66.207332392189,10.995,10.595,F5,yes,yes,0,-
313,M5-S1490,4421525074384092032,229.41101200544,2.04026405692908,15.102,14.123,-,yes,yes,1,Warning minor spectral defects (<3%)
314,SA104-428,3695913095870312576,190.421990464837,-0.440606556508916,13.636,12.672,G8,yes,yes,2,Warning spectral defects (>3%)
315,SA104-490,3683915053189161728,191.139402166791,-0.431040598665528,13.134,12.598,G3,yes,yes,0,-
320,sdss09310,845789153480087936,174.510730638348,57.4899192871251,15.327,15.048,A0/F3,yes,yes,0,-
324,sdss09626,1487827631122772992,217.462638397757,39.4737411063659,15.224,15.056,A0,yes,yes,0,-
327,GJ70,2560771312759450496,25.8321966703578,4.31825535642992,12.465,10.955,M2,no,yes,2,Warning spectral defects (>3%)
328,HG7-15,3277270538903180160,57.0502178794369,7.14627241567302,12.161,10.848,M1,yes,yes,1,Warning minor spectral defects (<3%)
334,GJ2097,3943234217765374336,196.767524673553,20.8103815956237,13.992,12.487,M1,yes,yes,1,Warning minor spectral defects (<3%)
336,GJ521,1503625448550796032,204.850154394475,46.1882193906256,11.628,10.241,M2,yes,yes,1,Warning minor spectral defects (<3%)
339,GJ745A,4519789321942643072,286.7709107523,20.8864875178788,12.38,10.797,M2,yes,yes,1,Warning minor spectral defects (<3%)
340,GJ745B,4519789081415296128,286.802729640277,20.8755384014847,12.36,10.765,M2,yes,yes,1,Warning minor spectral defects (<3%)
344,HD270422,4659706918202567936,89.1990461024895,-66.6512954015049,10.948,10.021,G0,yes,no,-1,Non photometric - high airmass
345,HD270477,4659680529922228096,89.8890579895031,-67.0203677057111,10.787,10.403,F8,yes,yes,0,-
346,HD271747,4755812790042069888,89.9943363225399,-66.1024375344835,12.071,11.473,G0,yes,yes,0,-
347,HD271759,5476400477145058816,90.1722769588903,-66.0537054333949,11.093,10.873,A2,yes,yes,2,Warning spectral defects (>3%)
348,HD271783,5284204302730217984,90.5476076716684,-66.5830206025,12.539,11.955,F5,yes,yes,2,Warning spectral defects (>3%)
349,HIP28618,5284151216932205312,90.6161558243931,-66.7912833524641,12.143,12.282,B8,yes,no,-1,Non photometric - spectral defects
350,LTT377,5006921282807193856,10.3751210516697,-33.6266803940239,11.97,10.53,K9,yes,yes,1,Warning minor spectral defects (<3%)
352,LP885-23,5020116556211470848,31.7777220536097,-30.4070142039846,15.721,14.15,M0,no,yes,1,Warning minor spectral defects (<3%)
